movie_name_script_slug_conventioned,movie_name_imsdb_conventioned,_merge_imsdb_scriptslug,movie_name_conventioned,movie_name_dailyscripts_conventioned,_merge_main_dailyscripts
,,,,Big Trouble In Little China 2,right_only
Bill & Ted Face The Music,,left_only,Bill & Ted Face The Music,,left_only
Bill And Teds Bogus Journey,,left_only,Bill And Teds Bogus Journey,,left_only
Bill And Teds Excellent Adventure,,left_only,Bill And Teds Excellent Adventure,,left_only
Bird Box,,left_only,Bird Box,,left_only
Birdman,Birdman,both,Birdman,Birdman,both
,,,,Birth Of A Nation,right_only
,Birthday Girl,right_only,Birthday Girl,Birthday Girl,both
Black Christmas,,left_only,Black Christmas,,left_only
Black Panther,Black Panther,both,Black Panther,,left_only
Black Panther Wakanda Forever,,left_only,Black Panther Wakanda Forever,,left_only
,Black Rain,right_only,Black Rain,Black Rain,both
,Black Snake Moan,right_only,Black Snake Moan,Black Snake Moan,both
Black Swan,Black Swan,both,Black Swan,,left_only
Blackberry,Blackberry,both,Blackberry,,left_only
Blackkklansman,Blackkklansman,both,Blackkklansman,,left_only
Blade,Blade,both,Blade,Blade,both
,Blade 2,right_only,Blade 2,Blade 2,both
Blade Runner,Blade Runner,both,Blade Runner,Blade Runner,both
Blade Runner 2049,,left_only,Blade Runner 2049,,left_only
,Blade Trinity,right_only,Blade Trinity,Blade Trinity,both
Blades Of Glory,,left_only,Blades Of Glory,,left_only
,,,,Blair Witch 2,right_only
Blankman,,left_only,Blankman,,left_only
Blazing Saddles,,left_only,Blazing Saddles,,left_only
Blindspotting,,left_only,Blindspotting,,left_only
Blink Twice,Blink Twice,both,Blink Twice,,left_only
Blitz,Blitz,both,Blitz,,left_only
Blonde,,left_only,Blonde,,left_only
,Blood And Wine,right_only,Blood And Wine,,left_only
Blood Diamond,,left_only,Blood Diamond,Blood Diamond,both
,,,,Blood Relations The Sun Wars (filmed As The Hills Have Eyes),right_only
,Blood Simple,right_only,Blood Simple,Blood Simple,both
,,,,Blood Work,right_only
Bloodshot,,left_only,Bloodshot,,left_only
,Blow,right_only,Blow,Blow,both
,,,,Blue Hotel,right_only
Blue Jasmine,,left_only,Blue Jasmine,,left_only
Blue Ruin,,left_only,Blue Ruin,,left_only
Blue Valentine,Blue Valentine,both,Blue Valentine,,left_only
Blue Velvet,Blue Velvet,both,Blue Velvet,Blue Velvet,both
,Bodies Rest & Motion,right_only,Bodies Rest & Motion,Bodies Rest & Motion,both
Body Heat,Body Heat,both,Body Heat,Body Heat,both
,Body Of Evidence,right_only,Body Of Evidence,Body Of Evidence,both
,Bodyguard,right_only,Bodyguard,,left_only
Bohemian Rhapsody,,left_only,Bohemian Rhapsody,,left_only
,Bones,right_only,Bones,Bones,both
Bones And All,,left_only,Bones And All,,left_only
,Bonfire Of The Vanities,right_only,Bonfire Of The Vanities,Bonfire Of The Vanities,both
,Bonnie And Clyde,right_only,Bonnie And Clyde,,left_only
Boogie Nights,Boogie Nights,both,Boogie Nights,,left_only
Booksmart,,left_only,Booksmart,,left_only
Bookworm,Bookworm,both,Bookworm,,left_only
Boomerang,,left_only,Boomerang,,left_only
,Boondock Saints 2 All Saints Day,right_only,Boondock Saints 2 All Saints Day,,left_only
Booty Call,,left_only,Booty Call,,left_only
Borat Subsequent Moviefilm,,left_only,Borat Subsequent Moviefilm,,left_only
Born On The Fourth Of July,,left_only,Born On The Fourth Of July,,left_only
,,,,Born On The Fourth Of July (part 1),right_only
,,,,Born On The Fourth Of July (part 2),right_only
,Bottle Rocket,right_only,Bottle Rocket,Bottle Rocket,both
Bottoms,,left_only,Bottoms,,left_only
Bound,Bound,both,Bound,Bound,both
Bowfinger,,left_only,Bowfinger,,left_only
Boy Erased,,left_only,Boy Erased,,left_only
,,,,Boy Who Never Slept,right_only
Boyhood,Boyhood,both,Boyhood,Boyhood,both
Boyz In The Hood,,left_only,Boyz In The Hood,,left_only
Brads Status,,left_only,Brads Status,,left_only
Bram Stokers Dracula,,left_only,Bram Stokers Dracula,,left_only
Braveheart,Braveheart,both,Braveheart,Braveheart,both
,Brazil,right_only,Brazil,Brazil,both
Breach,,left_only,Breach,,left_only
,,,,Breach (written As Hanssen),right_only
,Break,right_only,Break,Break,both
