name,name_conventioned,movie_name,movie_url,movie_url_extension,movie_name_conventioned,_merge,name_error,error,name_conventioned_error
"Clockwork Orange, A",Clockwork Orange A,,,,,left_only,"Clockwork Orange, A",HTML len = 0 : no content scrapped,Clockwork Orange A
Clueless,Clueless,,,,,left_only,,,
Cobb,Cobb,Cobb,https://www.dailyscript.com/scripts/cobb.pdf,pdf,Cobb,both,,,
Coco,Coco,,,,,left_only,,,
Code of Silence,Code Of Silence,Code Of Silence,https://www.dailyscript.com/scripts/Code%20Of%20Silence.txt,txt,Code Of Silence,both,,,
Cold Mountain,Cold Mountain,Cold Mountain,https://www.dailyscript.com/scripts/Cold%20Mountain.txt,txt,Cold Mountain,both,,,
Collateral,Collateral,Collateral,https://www.dailyscript.com/scripts/Collateral.html,html,Collateral,both,,,
Collateral Damage,Collateral Damage,Collateral Damage,https://www.dailyscript.com/scripts/Collateral_Damage.pdf,pdf,Collateral Damage,both,,,
Colombiana,Colombiana,,,,,left_only,,,
Color of Night,Color Of Night,,,,,left_only,,,
Commando,Commando,,,,,left_only,Commando,HTML len = 0 : no content scrapped,Commando
Conan the Barbarian,Conan The Barbarian,,,,,left_only,Conan the Barbarian,HTML len = 0 : no content scrapped,Conan The Barbarian
Confessions of a Dangerous Mind,Confessions Of A Dangerous Mind,,,,,left_only,,,
Confidence,Confidence,Confidence,https://www.dailyscript.com/scripts/CONFIDENCE.pdf,pdf,Confidence,both,,,
Constantine,Constantine,,,,,left_only,,,
Contact,Contact,,,,,left_only,Contact,"Webstatus : 404
",Contact
Copycat,Copycat,Copycat,https://www.dailyscript.com/scripts/copycat.html,html,Copycat,both,,,
Coraline,Coraline,,,,,left_only,,,
Coriolanus,Coriolanus,,,,,left_only,,,
Corpse Bride,Corpse Bride,,,,,left_only,,,
Courage Under Fire,Courage Under Fire,Courage Under Fire,https://www.dailyscript.com/scripts/CourageUnderFire.pdf,pdf,Courage Under Fire,both,Courage Under Fire,HTML len = 0 : no content scrapped,Courage Under Fire
Cowboys & Aliens,Cowboys & Aliens,,,,,left_only,Cowboys & Aliens,HTML len = 0 : no content scrapped,Cowboys & Aliens
Cradle 2 the Grave,Cradle 2 The Grave,,,,,left_only,,,
Crank,Crank,Crank,https://www.dailyscript.com/scripts/crank.pdf,pdf,Crank,both,,,
Crash,Crash,,,,,left_only,,,
"Crazy, Stupid, Love",Crazy Stupid Love,,,,,left_only,,,
Crazylove,Crazylove,,,,,left_only,,,
Creation,Creation,,,,,left_only,,,
Crime Spree,Crime Spree,Crime Spree,https://www.dailyscript.com/scripts/crimespree.html,html,Crime Spree,both,,,
"Crouching Tiger, Hidden Dragon",Crouching Tiger Hidden Dragon,,,,,left_only,,,
Croupier,Croupier,Croupier,https://www.dailyscript.com/scripts/Croupier.txt,txt,Croupier,both,,,
Cruel Intentions,Cruel Intentions,Cruel Intentions,https://www.dailyscript.com/scripts/cruel-intentions.html,html,Cruel Intentions,both,,,
Crying Game,Crying Game,,,,,left_only,,,
Cube,Cube,,,,,left_only,,,
Custody,Custody,,,,,left_only,,,
Dallas Buyers Club,Dallas Buyers Club,,,,,left_only,,,
Dances with Wolves,Dances With Wolves,Dances With Wolves,https://www.dailyscript.com/scripts/Dances_With_Wolves.pdf,pdf,Dances With Wolves,both,,,
Dark City,Dark City,Dark City,https://www.dailyscript.com/scripts/dark-city_early.html,html,Dark City,both,,,
Dark Star,Dark Star,Dark Star,https://www.dailyscript.com/scripts/dark-star_short.html,html,Dark Star,both,,,
Darkman,Darkman,Darkman,https://www.dailyscript.com/scripts/darkman.pdf,pdf,Darkman,both,,,
Date Night,Date Night,,,,,left_only,,,
