name,movie_name,_merge,name_error,error
Jennifer Eight,Jennifer Eight,both,,
Jennifer's Body,,left_only,,
Jerry Maguire,Jerry Maguire,both,,
Jeux Interdits,,left_only,,
Jimmy and Judy,Jimmy and Judy,both,,
John Q,,left_only,,
John Wick,,left_only,,
John Wick: Chapter 4,,left_only,,
Jojo Rabbit,,left_only,,
Joker,,left_only,,
Judge Dredd,,left_only,,
Juno,Juno,both,,
Jurassic Park,Jurassic Park,both,,
Jurassic Park III,,left_only,,
Jurassic Park: The Lost World,,left_only,,
Kafka,Kafka,both,,
Kalifornia,Kalifornia,both,,
Kate & Leopold,,left_only,Kate & Leopold,HTML len = 0 : no content scrapped
Kids,Kids,both,,
Kill Bill Volume 1 & 2,,left_only,Kill Bill Volume 1 & 2,HTML len = 0 : no content scrapped
Kill Your Darlings,Kill Your Darlings,both,,
Killers of the Flower Moon,,left_only,,
Killing Zoe,,left_only,,
King Kong,King Kong,both,,
Kiss of the Spider Woman,Kiss of the Spider Woman,both,Kiss of the Spider Woman,HTML len = 0 : no content scrapped
Klute,Klute,both,,
Knocked Up,Knocked Up,both,,
Kramer vs Kramer,,left_only,,
Kundun,Kundun,both,,
Kung Fu Panda,,left_only,,
L.A. Confidential,L.A. Confidential,both,,
La La Land,,left_only,,
Labor of Love,,left_only,,
Labyrinth,,left_only,,
Lake Placid,Lake Placid,both,,
Land of the Dead,Land of the Dead,both,,
Larry Crowne,,left_only,,
Last Chance Harvey,,left_only,,
Last Tango in Paris,,left_only,,
Law Abiding Citizen,,left_only,,
Le Diable par la Queue,,left_only,,
Leaving Las Vegas,Leaving Las Vegas,both,,
Legally Blonde,Legally Blonde,both,,
Legend,,left_only,,
Legion,,left_only,,
Leprechaun 2,,left_only,,
Les Miserables,,left_only,,
Les Tontons Flingueurs,,left_only,,
Lethal Weapon,Lethal Weapon,both,Lethal Weapon,"Webstatus : 404
"
Lethal Weapon 4,Lethal Weapon 4,both,Lethal Weapon 4,"Webstatus : 404
"
Leviathan,Leviathan,both,,
Liar Liar,,left_only,,
Life,Life,both,,
Life As A House,Life As A House,both,,
Life of Pi,,left_only,,
Light Sleeper,Light Sleeper,both,,
Limitless,,left_only,,
Lincoln,,left_only,,
Little Athens,,left_only,,
Little Men,,left_only,,
Little Nicky,Little Nicky,both,,
Living in Oblivion,Living in Oblivion,both,,
"Lock, Stock and Two Smoking Barrels",,left_only,,
Logan,,left_only,,
Logan's Run,Logan's Run,both,,
Lone Star,Lone Star,both,,
Looper,,left_only,,
Lord of Illusions,Lord of Illusions,both,,
Lord of War,,left_only,,
Lord of the Rings: Return of the King,,left_only,,
Lord of the Rings: The Two Towers,,left_only,,
Lost Highway,Lost Highway,both,,
Lost Horizon,Lost Horizon,both,,
Lost in Space,,left_only,,
Lost in Translation,Lost in Translation,both,,
Love and Basketball,Love and Basketball,both,,
Machete,,left_only,,
Machine Gun Preacher,,left_only,,
Mad Max 2: The Road Warrior,,left_only,,
Made,Made,both,,
Maestro,,left_only,,
Magnolia,Magnolia,both,,
Major League,Major League,both,,
Malcolm X,Malcolm X,both,,
Malibu's Most Wanted,Malibu's Most Wanted,both,,
Malignant,,left_only,,
Man On Fire,Man On Fire,both,,
Man Trouble,Man Trouble,both,,
Man in the Iron Mask,Man in the Iron Mask,both,,
Man on the Moon,,left_only,,
Manhattan Murder Mystery,,left_only,,
Manhunter,Manhunter,both,,
Margaret,,left_only,,
Margin Call,,left_only,,
Margot at the Wedding,,left_only,,
"Mariachi, El",,left_only,,
Marley & Me,,left_only,Marley & Me,HTML len = 0 : no content scrapped
Martha Marcy May Marlene,,left_only,,
Marty,Marty,both,,
Mary Poppins,,left_only,,
Master and Commander,,left_only,,
Matchstick Men,Matchstick Men,both,Matchstick Men,"Webstatus : 404
"
Max Payne,,left_only,,
May December,,left_only,,
Mean Streets,,left_only,,
Meet Joe Black,,left_only,,
Meet John Doe,Meet John Doe,both,,
Megamind,,left_only,,
Memento,Memento,both,,
Memory,,left_only,,
Men in Black,,left_only,,
Men in Black 3,,left_only,,
Metro,Metro,both,,
Miami Vice,Miami Vice,both,,
Midnight Cowboy,Midnight Cowboy,both,,
Midnight Express,Midnight Express,both,,
Midnight in Paris,,left_only,,
Mighty Joe Young,Mighty Joe Young,both,,
Mighty Morphin Power Rangers: The Movie,,left_only,,
Milk,,left_only,,
Miller's Crossing,Miller's Crossing,both,,
Miller's Girl,,left_only,,
Mimic,Mimic,both,,
Mini's First Time,Mini's First Time,both,,
Minority Report,Minority Report,both,,
Mirrors,,left_only,,
Misery,Misery,both,,
Mission Impossible,Mission Impossible,both,,
Mission Impossible II,Mission Impossible II,both,,
Mission to Mars,Mission to Mars,both,,
Moneyball,,left_only,,
Monkeybone,Monkeybone,both,,
Monster's Ball,Monster's Ball,both,Monster's Ball,HTML len = 0 : no content scrapped
Monte Carlo,,left_only,,
Moon,,left_only,,
Moonrise Kingdom,,left_only,,
Moonstruck,Moonstruck,both,,
Mr Blandings Builds His Dream House,,left_only,,
Mr Brooks,,left_only,,
Mr Deeds Goes to Town,,left_only,,
Mr. Holland's Opus,Mr. Holland's Opus,both,Mr. Holland's Opus,HTML len = 0 : no content scrapped
