movie_name,script_page_url,pdf_url
Animal Kingdom,https://www.scriptslug.com/script/animal-kingdom-2010,https://assets.scriptslug.com/live/pdf/scripts/animal-kingdom-2010.pdf?v=1729114860
Annabelle,https://www.scriptslug.com/script/annabelle-2014,https://assets.scriptslug.com/live/pdf/scripts/annabelle-2014.pdf?v=1729114861
Annette,https://www.scriptslug.com/script/annette-2021,https://assets.scriptslug.com/live/pdf/scripts/annette-2021.pdf?v=1729114861
Annie Hall,https://www.scriptslug.com/script/annie-hall-1977,https://assets.scriptslug.com/live/pdf/scripts/annie-hall-1977.pdf?v=1729114861
Annihilation,https://www.scriptslug.com/script/annihilation-2018,https://assets.scriptslug.com/live/pdf/scripts/annihilation-2018.pdf?v=1729114861
Anora,https://www.scriptslug.com/script/anora-2024,https://assets.scriptslug.com/live/pdf/scripts/anora-2024.pdf?v=1738462640
Another 48 Hrs.,https://www.scriptslug.com/script/another-48-hrs-1990,https://assets.scriptslug.com/live/pdf/scripts/another-48-hrs-1990.pdf?v=1729114861
Another Year,https://www.scriptslug.com/script/another-year-2010,https://assets.scriptslug.com/live/pdf/scripts/another-year-2010.pdf?v=1729114861
Antebellum,https://www.scriptslug.com/script/antebellum-2020,https://assets.scriptslug.com/live/pdf/scripts/antebellum-2020.pdf?v=1729114861
Anthropoid,https://www.scriptslug.com/script/anthropoid-2016,https://assets.scriptslug.com/live/pdf/scripts/anthropoid-2016.pdf?v=1729114861
Any Given Sunday,https://www.scriptslug.com/script/any-given-sunday-1999,https://assets.scriptslug.com/live/pdf/scripts/any-given-sunday-1999.pdf?v=1729114861
The Apartment,https://www.scriptslug.com/script/the-apartment-1960,https://assets.scriptslug.com/live/pdf/scripts/the-apartment-1960.pdf?v=1729115007
Apocalypse Now,https://www.scriptslug.com/script/apocalypse-now-1979,https://assets.scriptslug.com/live/pdf/scripts/apocalypse-now-1979.pdf?v=1729114861
"Argentina, 1985",https://www.scriptslug.com/script/argentina-1985-2022,https://assets.scriptslug.com/live/pdf/scripts/argentina-1985-2022.pdf?v=1729114862
Argo,https://www.scriptslug.com/script/argo-2012,https://assets.scriptslug.com/live/pdf/scripts/argo-2012.pdf?v=1729114862
Armageddon,https://www.scriptslug.com/script/armageddon-1998,https://assets.scriptslug.com/live/pdf/scripts/armageddon-1998.pdf?v=1729114862
Armageddon Time,https://www.scriptslug.com/script/armageddon-time-2022,https://assets.scriptslug.com/live/pdf/scripts/armageddon-time-2022.pdf?v=1729114862
Armed and Dangerous,https://www.scriptslug.com/script/armed-and-dangerous-1986,https://assets.scriptslug.com/live/pdf/scripts/armed-and-dangerous-1986.pdf?v=1729114862
Army of Darkness,https://www.scriptslug.com/script/army-of-darkness-1992,https://assets.scriptslug.com/live/pdf/scripts/army-of-darkness-1992.pdf?v=1729114862
Arrival,https://www.scriptslug.com/script/arrival-2016,https://assets.scriptslug.com/live/pdf/scripts/arrival-2016.pdf?v=1729114862
The Artist,https://www.scriptslug.com/script/the-artist-2011,https://assets.scriptslug.com/live/pdf/scripts/the-artist-2011.pdf?v=1729115007
As Good as It Gets,https://www.scriptslug.com/script/as-good-as-it-gets-1997,https://assets.scriptslug.com/live/pdf/scripts/as-good-as-it-gets-1997.pdf?v=1729114862
Ask the Dust,https://www.scriptslug.com/script/ask-the-dust-2006,https://assets.scriptslug.com/live/pdf/scripts/ask-the-dust-2006.pdf?v=1729114863
Assassination Nation,https://www.scriptslug.com/script/assassination-nation-2018,https://assets.scriptslug.com/live/pdf/scripts/assassination-nation-2018.pdf?v=1729114863
Assault on Precinct 13,https://www.scriptslug.com/script/assault-on-precinct-13-2005,https://assets.scriptslug.com/live/pdf/scripts/assault-on-prisinct-13-2005.pdf?v=1729114863
Asteroid City,https://www.scriptslug.com/script/asteroid-city-2023,https://assets.scriptslug.com/live/pdf/scripts/asteroid-city-2023.pdf?v=1729114863
The A-Team,https://www.scriptslug.com/script/the-a-team-2010,https://assets.scriptslug.com/live/pdf/scripts/the-a-team-2010.pdf?v=1729115005
Atomic Blonde,https://www.scriptslug.com/script/atomic-blonde-2017,https://assets.scriptslug.com/live/pdf/scripts/atomic-blonde-2017.pdf?v=1729114863
Attack the Block,https://www.scriptslug.com/script/attack-the-block-2011,https://assets.scriptslug.com/live/pdf/scripts/attack-the-block-2011.pdf?v=1729114863
Audrey Rose,https://www.scriptslug.com/script/audrey-rose-1977,https://assets.scriptslug.com/live/pdf/scripts/audrey-rose-1977.pdf?v=1729114864
"August
Osage County",https://www.scriptslug.com/script/august-osage-county-2013,https://assets.scriptslug.com/live/pdf/scripts/august-osage-county-2013.pdf?v=1729114864
Avatar,https://www.scriptslug.com/script/avatar-2009,https://assets.scriptslug.com/live/pdf/scripts/avatar-2009.pdf?v=1729114864
