name,pacal_case_name,movie_name,movie_url,movie_url_extension,pacal_case_movie_name,_merge,name_error,error,pacal_case_name_error
Batman Forever,batmanforever,Batman Forever,https://www.dailyscript.com/scripts/batman_forever.html,html,batmanforever,both,Batman Forever,"Webstatus : 404
",batmanforever
Batman Returns,batmanreturns,Batman Returns,https://www.dailyscript.com/scripts/batman-returns_early.html,html,batmanreturns,both,Batman Returns,"Webstatus : 404
",batmanreturns
Battle: Los Angeles,battlelosangeles,,,,,left_only,,,
Bean,bean,,,,,left_only,,,
Beasts of No Nation,beastsofnonation,,,,,left_only,,,
Beasts of the Southern Wild,beastsofthesouthernwild,,,,,left_only,,,
Beauty and the Beast,beautyandthebeast,,,,,left_only,,,
Beavis and Butt-head Do America,beavisandbuttheaddoamerica,Beavis and Butt-head Do America,https://www.dailyscript.com/scripts/beavis_and_butthead_do_america.html,html,beavisandbuttheaddoamerica,both,,,
Beginners,beginners,,,,,left_only,,,
Being Human,beinghuman,Being Human,https://www.dailyscript.com/scripts/Being_Human.PDF,pdf,beinghuman,both,,,
Being John Malkovich,beingjohnmalkovich,Being John Malkovich,https://www.dailyscript.com/scripts/beingjohnmalkovich.html,html,beingjohnmalkovich,both,,,
Being There,beingthere,Being There,https://www.dailyscript.com/scripts/being_there_1_10_79.html,html,beingthere,both,,,
Being the Ricardos,beingthericardos,,,,,left_only,,,
Belle,belle,Belle,https://www.dailyscript.com/scripts/FSP3827_BELLE_SCRIPT_BOOK_C6a.pdf,pdf,belle,both,,,
Beloved,beloved,Beloved,https://www.dailyscript.com/scripts/beloved_lagravenese.html,html,beloved,both,,,
Benny & Joon,benny&joon,,,,,left_only,Benny & Joon,HTML len = 0 : no content scrapped,benny&joon
Big,big,,,,,left_only,,,
Big Eyes,bigeyes,Big Eyes,https://www.dailyscript.com/scripts/ScreenplayBigEyes.pdf,pdf,bigeyes,both,,,
Big Fish,bigfish,Big Fish ,https://www.dailyscript.com/scripts/Big+Fish.txt,txt,bigfish,both,,,
Birdman,birdman,Birdman,https://www.dailyscript.com/scripts/FSP3823_BiRDMAN_MINI_SCRIPT_BOOK_C5.pdf,pdf,birdman,both,,,
Birthday Girl,birthdaygirl,Birthday Girl,https://www.dailyscript.com/scripts/Birthday+Girl.txt,txt,birthdaygirl,both,,,
Blackberry,blackberry,,,,,left_only,,,
BlacKkKlansman,blackkklansman,,,,,left_only,,,
Black Panther,blackpanther,,,,,left_only,,,
Black Rain,blackrain,Black Rain,https://www.dailyscript.com/scripts/black_rain.html,html,blackrain,both,,,
Black Snake Moan,blacksnakemoan,Black Snake Moan,https://www.dailyscript.com/scripts/Black-Snake-Moan.pdf,pdf,blacksnakemoan,both,,,
Black Swan,blackswan,,,,,left_only,,,
Blade,blade,Blade,https://www.dailyscript.com/scripts/blade.html,html,blade,both,,,
Blade II,blade2,Blade II,https://www.dailyscript.com/scripts/Blade_II_David_goyer.html,html,blade2,both,,,
Blade Runner,bladerunner,Blade Runner,https://www.dailyscript.com/scripts/Blade-runner_early.html,html,bladerunner,both,,,
Blade: Trinity,bladetrinity,Blade Trinity,https://www.dailyscript.com/scripts/BladeTrinity.txt,txt,bladetrinity,both,,,
Blink Twice,blinktwice,,,,,left_only,,,
Blitz,blitz,,,,,left_only,,,
Blood and Wine,bloodandwine,,,,,left_only,,,
Blood Simple,bloodsimple,Blood Simple,https://www.dailyscript.com/scripts/Blood%20Simple.txt,txt,bloodsimple,both,,,
Blow,blow,Blow,https://www.dailyscript.com/scripts/blow.html,html,blow,both,,,
Blue Valentine,bluevalentine,,,,,left_only,,,
Blue Velvet,bluevelvet,Blue Velvet,https://www.dailyscript.com/scripts/Blue+Velvet.txt,txt,bluevelvet,both,,,
